ad_id,title,product_id,user_id,allow_bid
1,Iklan 1,1,3,False
2,Iklan 2,2,14,True
3,Iklan 3,3,1,False
4,Iklan 4,4,5,False
5,Iklan 5,5,9,True
6,Iklan 6,6,6,True
7,Iklan 7,7,18,True
8,Iklan 8,8,17,False
9,Iklan 9,9,17,True
10,Iklan 10,10,11,False
11,Iklan 11,11,13,False
12,Iklan 12,12,10,True
13,Iklan 13,13,7,True
14,Iklan 14,14,8,False
15,Iklan 15,15,4,True
16,Iklan 16,16,11,True
17,Iklan 17,17,20,True
18,Iklan 18,18,13,True
19,Iklan 19,19,18,False
20,Iklan 20,20,9,True
21,Iklan 21,21,6,True
22,Iklan 22,22,15,True
23,Iklan 23,23,12,True
24,Iklan 24,24,13,True
25,Iklan 25,25,14,True
26,Iklan 26,26,6,True
27,Iklan 27,27,20,False
28,Iklan 28,28,7,False
29,Iklan 29,29,14,True
30,Iklan 30,30,3,True
31,Iklan 31,31,13,True
32,Iklan 32,32,8,False
33,Iklan 33,33,19,False
34,Iklan 34,34,20,True
35,Iklan 35,35,4,True
36,Iklan 36,36,7,False
37,Iklan 37,37,4,False
38,Iklan 38,38,6,True
39,Iklan 39,39,2,False
40,Iklan 40,40,20,True
41,Iklan 41,41,1,True
42,Iklan 42,42,11,True
43,Iklan 43,43,18,True
44,Iklan 44,44,6,True
45,Iklan 45,45,8,False
46,Iklan 46,46,8,False
47,Iklan 47,47,14,False
48,Iklan 48,48,1,True
49,Iklan 49,49,5,True
50,Iklan 50,50,13,True
